"1";"Centro de Alto Rendimiento";-74.084;4.65837;36;28.5
"2";"Guaymaral";-74.04417;4.78374;32;16
"3";"Kennedy";-74.16135;4.6249;67.5;37
"4";"Las Ferias";-74.084672;4.6907053;80;32.5
"5";"Puente Aranda";-74.11757;4.63187;76;27.7
"6";"San Cristobal";-74.086003;4.5725581;48.1;35.5
"7";"Suba";-74.09343;4.76251;23;19
"8";"Tunal";-74.13093;4.57619;42;25
"9";"Usaquen";-74.032605;4.7103553;81;32
